posto,time_division,model_id,p,h,h_std,avg_cv_mse,total_aic
ITAIPU,sem,3,4,1,5,,17143.22713427051
ITAIPU,sem,3,4,2,1,,17121.475099738338
ITAIPU,sem,3,4,2,2,,17126.3616482164
ITAIPU,sem,3,4,2,3,,17135.16278444206
ITAIPU,sem,3,4,2,4,,17141.702522458272
ITAIPU,sem,3,4,2,5,,17140.313406700003
ITAIPU,sem,3,4,3,1,,17113.702216777816
ITAIPU,sem,3,4,3,2,,17118.45233819195
ITAIPU,sem,3,4,3,3,,17126.747760387043
ITAIPU,sem,3,4,3,4,,17133.112102721607
ITAIPU,sem,3,4,3,5,,17131.077057971364
ITAIPU,sem,3,4,4,1,,17117.39167084164
ITAIPU,sem,3,4,4,2,,17122.12727726454
ITAIPU,sem,3,4,4,3,,17130.43592984145
ITAIPU,sem,3,4,4,4,,17136.820937496203
ITAIPU,sem,3,4,4,5,,17134.779422782554
ITAIPU,sem,3,4,5,1,,17116.53981738187
ITAIPU,sem,3,4,5,2,,17121.219856985957
ITAIPU,sem,3,4,5,3,,17129.39344350793
ITAIPU,sem,3,4,5,4,,17135.65079692636
ITAIPU,sem,3,4,5,5,,17133.60258780642
ITAIPU,sem,3,5,1,1,,17119.42927218874
ITAIPU,sem,3,5,1,2,,17124.4511514165
ITAIPU,sem,3,5,1,3,,17130.486096771485
ITAIPU,sem,3,5,1,4,,17135.549517438496
ITAIPU,sem,3,5,1,5,,17135.174445190405
ITAIPU,sem,3,5,2,1,,17117.569006649945
ITAIPU,sem,3,5,2,2,,17122.382783067766
ITAIPU,sem,3,5,2,3,,17126.975459141315
ITAIPU,sem,3,5,2,4,,17132.78334141674
ITAIPU,sem,3,5,2,5,,17130.45584088211
ITAIPU,sem,3,5,3,1,,17108.02597991427
ITAIPU,sem,3,5,3,2,,17112.56642380641
ITAIPU,sem,3,5,3,3,,17115.593413034094
ITAIPU,sem,3,5,3,4,,17121.16178647414
ITAIPU,sem,3,5,3,5,,17117.860856554304
ITAIPU,sem,3,5,4,1,,17111.677587847098
ITAIPU,sem,3,5,4,2,,17116.209208897344
ITAIPU,sem,3,5,4,3,,17119.215036972433
ITAIPU,sem,3,5,4,4,,17124.790068343387
ITAIPU,sem,3,5,4,5,,17121.45683258577
ITAIPU,sem,3,5,5,1,,17110.773423857718
ITAIPU,sem,3,5,5,2,,17115.24835996232
